src,dst
R-HSA-1483206|Glycerophospholipid biosynthesis,R-HSA-1482839|Acyl chain remodelling of PE
R-HSA-1483206|Glycerophospholipid biosynthesis,R-HSA-1483115|Hydrolysis of LPC
R-HSA-1483206|Glycerophospholipid biosynthesis,R-HSA-1483166|Synthesis of PA
R-HSA-1483206|Glycerophospholipid biosynthesis,R-HSA-1483191|Synthesis of PC
R-HSA-1483249|Inositol phosphate metabolism,R-HSA-1855204|Synthesis of IP3 and IP4 in the cytosol
R-HSA-1483255|PI Metabolism,R-HSA-1660499|Synthesis of PIPs at the plasma membrane
R-HSA-1483257|Phospholipid metabolism,R-HSA-1483206|Glycerophospholipid biosynthesis
R-HSA-1483257|Phospholipid metabolism,R-HSA-1483255|PI Metabolism
R-HSA-1489509|DAG and IP3 signaling,R-HSA-111997|CaM pathway
R-HSA-1500620|Meiosis,R-HSA-1221632|Meiotic synapsis
R-HSA-1500620|Meiosis,R-HSA-912446|Meiotic recombination
R-HSA-1500931|Cell-Cell communication,R-HSA-373753|Nephrin family interactions
R-HSA-1500931|Cell-Cell communication,R-HSA-391160|Signal regulatory protein family interactions
R-HSA-1500931|Cell-Cell communication,R-HSA-446728|Cell junction organization
R-HSA-1538133|G0 and Early G1,R-HSA-1362277|Transcription of E2F targets under negative control by DREAM complex
R-HSA-1538133|G0 and Early G1,R-HSA-1362300|Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
R-HSA-156580|Phase II - Conjugation of compounds,R-HSA-156581|Methylation
R-HSA-156580|Phase II - Conjugation of compounds,R-HSA-156590|Glutathione conjugation
R-HSA-1566948|Elastic fibre formation,R-HSA-2129379|Molecules associated with elastic fibres
R-HSA-156842|Eukaryotic Translation Elongation,R-HSA-156902|Peptide chain elongation
R-HSA-157118|Signaling by NOTCH,R-HSA-1912422|Pre-NOTCH Expression and Processing
R-HSA-157118|Signaling by NOTCH,R-HSA-1980143|Signaling by NOTCH1
R-HSA-157118|Signaling by NOTCH,R-HSA-1980145|Signaling by NOTCH2
R-HSA-157118|Signaling by NOTCH,R-HSA-9012852|Signaling by NOTCH3
R-HSA-157118|Signaling by NOTCH,R-HSA-9013694|Signaling by NOTCH4
R-HSA-157579|Telomere Maintenance,R-HSA-180786|Extension of Telomeres
R-HSA-157858|Gap junction trafficking and regulation,R-HSA-190828|Gap junction trafficking
R-HSA-15869|Metabolism of nucleotides,R-HSA-499943|Interconversion of nucleotide di- and triphosphates
R-HSA-1592230|Mitochondrial biogenesis,R-HSA-2151201|Transcriptional activation of mitochondrial biogenesis
R-HSA-159234|Transport of Mature mRNAs Derived from Intronless Transcripts,R-HSA-159227|Transport of the SLBP independent Mature mRNA
R-HSA-159234|Transport of Mature mRNAs Derived from Intronless Transcripts,R-HSA-159230|Transport of the SLBP Dependant Mature mRNA
R-HSA-159234|Transport of Mature mRNAs Derived from Intronless Transcripts,R-HSA-159231|Transport of Mature mRNA Derived from an Intronless Transcript
R-HSA-162587|HIV Life Cycle,R-HSA-162599|Late Phase of HIV Life Cycle
R-HSA-162599|Late Phase of HIV Life Cycle,R-HSA-165054|Rev-mediated nuclear export of HIV RNA
R-HSA-162599|Late Phase of HIV Life Cycle,R-HSA-167172|Transcription of the HIV genome
R-HSA-162906|HIV Infection,R-HSA-162587|HIV Life Cycle
R-HSA-162906|HIV Infection,R-HSA-162909|Host Interactions of HIV factors
R-HSA-162909|Host Interactions of HIV factors,R-HSA-164952|The role of Nef in HIV-1 replication and disease pathogenesis
R-HSA-162909|Host Interactions of HIV factors,R-HSA-176033|Interactions of Vpr with host cellular proteins
R-HSA-162909|Host Interactions of HIV factors,R-HSA-177243|Interactions of Rev with host cellular proteins
R-HSA-162909|Host Interactions of HIV factors,R-HSA-180534|Vpu mediated degradation of CD4
R-HSA-162909|Host Interactions of HIV factors,R-HSA-180585|Vif-mediated degradation of APOBEC3G
R-HSA-1630316|Glycosaminoglycan metabolism,R-HSA-1638074|Keratan sulfate/keratin metabolism
R-HSA-1630316|Glycosaminoglycan metabolism,R-HSA-1638091|Heparan sulfate/heparin (HS-GAG) metabolism
R-HSA-1630316|Glycosaminoglycan metabolism,R-HSA-1793185|Chondroitin sulfate/dermatan sulfate metabolism
R-HSA-1630316|Glycosaminoglycan metabolism,R-HSA-1971475|Glycosaminoglycan-protein linkage region biosynthesis
R-HSA-1630316|Glycosaminoglycan metabolism,R-HSA-2142845|Hyaluronan metabolism
R-HSA-1632852|Macroautophagy,R-HSA-9663891|Selective autophagy
R-HSA-163359|Glucagon signaling in metabolic regulation,R-HSA-164378|PKA activation in glucagon signalling
R-HSA-163685|Integration of energy metabolism,R-HSA-163359|Glucagon signaling in metabolic regulation
R-HSA-163685|Integration of energy metabolism,R-HSA-422356|Regulation of insulin secretion
R-HSA-1638074|Keratan sulfate/keratin metabolism,R-HSA-2022854|Keratan sulfate biosynthesis
R-HSA-1638091|Heparan sulfate/heparin (HS-GAG) metabolism,R-HSA-2022928|HS-GAG biosynthesis
R-HSA-1638091|Heparan sulfate/heparin (HS-GAG) metabolism,R-HSA-2024096|HS-GAG degradation
R-HSA-1640170|Cell Cycle,R-HSA-1500620|Meiosis
R-HSA-1640170|Cell Cycle,"R-HSA-69278|Cell Cycle, Mitotic"
R-HSA-1640170|Cell Cycle,R-HSA-69620|Cell Cycle Checkpoints
R-HSA-1640170|Cell Cycle,R-HSA-73886|Chromosome Maintenance
R-HSA-1643713|Signaling by EGFR in Cancer,R-HSA-5637812|Signaling by EGFRvIII in Cancer
R-HSA-1643713|Signaling by EGFR in Cancer,R-HSA-5637815|Signaling by Ligand-Responsive EGFR Variants in Cancer
R-HSA-164952|The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-164938|Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
R-HSA-1650814|Collagen biosynthesis and modifying enzymes,R-HSA-8948216|Collagen chain trimerization
R-HSA-165159|MTOR signalling,R-HSA-166208|mTORC1-mediated signalling
R-HSA-1655829|Regulation of cholesterol biosynthesis by SREBP (SREBF),R-HSA-2426168|Activation of gene expression by SREBF (SREBP)
R-HSA-166016|Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166058|MyD88:MAL(TIRAP) cascade initiated on plasma membrane
R-HSA-166016|Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166166|MyD88-independent TLR4 cascade 
