src,dst
R-HSA-450294|MAP kinase activation,R-HSA-450321|JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
R-HSA-450531|Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450385|Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
R-HSA-450531|Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
R-HSA-450531|Regulation of mRNA stability by proteins that bind AU-rich elements,"R-HSA-450513|Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
R-HSA-450531|Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450520|HuR (ELAVL1) binds and stabilizes mRNA
R-HSA-451927|Interleukin-2 family signaling,R-HSA-8983432|Interleukin-15 signaling
R-HSA-451927|Interleukin-2 family signaling,R-HSA-8985947|Interleukin-9 signaling
R-HSA-451927|Interleukin-2 family signaling,R-HSA-9020558|Interleukin-2 signaling
R-HSA-451927|Interleukin-2 family signaling,R-HSA-9020958|Interleukin-21 signaling
R-HSA-451927|Interleukin-2 family signaling,R-HSA-912526|Interleukin receptor SHC signaling
R-HSA-453274|Mitotic G2-G2/M phases,R-HSA-69275|G2/M Transition
R-HSA-453276|Regulation of mitotic cell cycle,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
R-HSA-453279|Mitotic G1 phase and G1/S transition,R-HSA-1538133|G0 and Early G1
R-HSA-453279|Mitotic G1 phase and G1/S transition,R-HSA-69206|G1/S Transition
R-HSA-453279|Mitotic G1 phase and G1/S transition,R-HSA-69236|G1 Phase
R-HSA-4839726|Chromatin organization,R-HSA-3247509|Chromatin modifying enzymes
R-HSA-500792|GPCR ligand binding,R-HSA-373076|Class A/1 (Rhodopsin-like receptors)
R-HSA-500792|GPCR ligand binding,R-HSA-373080|Class B/2 (Secretin family receptors)
"R-HSA-512988|Interleukin-3, Interleukin-5 and GM-CSF signaling",R-HSA-912526|Interleukin receptor SHC signaling
"R-HSA-512988|Interleukin-3, Interleukin-5 and GM-CSF signaling",R-HSA-912631|Regulation of signaling by CBL
R-HSA-5173105|O-linked glycosylation,R-HSA-5173214|O-glycosylation of TSR domain-containing proteins
R-HSA-5173105|O-linked glycosylation,R-HSA-913709|O-linked glycosylation of mucins
R-HSA-5205647|Mitophagy,R-HSA-5205685|PINK1-PRKN Mediated Mitophagy
R-HSA-5213460|RIPK1-mediated regulated necrosis,R-HSA-5675482|Regulation of necroptotic cell death
R-HSA-5218859|Regulated Necrosis,R-HSA-5213460|RIPK1-mediated regulated necrosis
R-HSA-5218859|Regulated Necrosis,R-HSA-5620971|Pyroptosis
R-HSA-5250913|Positive epigenetic regulation of rRNA expression,R-HSA-5250924|B-WICH complex positively regulates rRNA expression
R-HSA-5250941|Negative epigenetic regulation of rRNA expression,R-HSA-427413|NoRC negatively regulates rRNA expression
R-HSA-5260271|Diseases of Immune System,R-HSA-5602358|Diseases associated with the TLR signaling cascade
R-HSA-532668|N-glycan trimming in the ER and Calnexin/Calreticulin cycle,R-HSA-901042|Calnexin/calreticulin cycle
R-HSA-5339562|Uptake and actions of bacterial toxins,R-HSA-5336415|Uptake and function of diphtheria toxin
R-HSA-5357769|Caspase activation via extrinsic apoptotic signalling pathway,R-HSA-140534|Caspase activation via Death Receptors in the presence of ligand
R-HSA-5357801|Programmed Cell Death,R-HSA-109581|Apoptosis
R-HSA-5357801|Programmed Cell Death,R-HSA-5218859|Regulated Necrosis
R-HSA-5358351|Signaling by Hedgehog,R-HSA-5358346|Hedgehog ligand biogenesis
R-HSA-5358351|Signaling by Hedgehog,R-HSA-5610787|Hedgehog 'off' state
R-HSA-5358351|Signaling by Hedgehog,R-HSA-5632684|Hedgehog 'on' state
R-HSA-5362517|Signaling by Retinoic Acid,R-HSA-5365859|RA biosynthesis pathway
R-HSA-5387390|Hh mutants abrogate ligand secretion,R-HSA-5362768|Hh mutants are degraded by ERAD
R-HSA-556833|Metabolism of lipids,R-HSA-1483257|Phospholipid metabolism
R-HSA-556833|Metabolism of lipids,R-HSA-400206|Regulation of lipid metabolism by PPARalpha
R-HSA-556833|Metabolism of lipids,R-HSA-428157|Sphingolipid metabolism
R-HSA-556833|Metabolism of lipids,R-HSA-8957322|Metabolism of steroids
R-HSA-556833|Metabolism of lipids,R-HSA-8978868|Fatty acid metabolism
R-HSA-556833|Metabolism of lipids,R-HSA-8979227|Triglyceride metabolism
R-HSA-5576891|Cardiac conduction,R-HSA-5576892|Phase 0 - rapid depolarisation
R-HSA-5576891|Cardiac conduction,R-HSA-5578775|Ion homeostasis
R-HSA-5602358|Diseases associated with the TLR signaling cascade,R-HSA-5602498|MyD88 deficiency (TLR2/4)
R-HSA-5602358|Diseases associated with the TLR signaling cascade,R-HSA-5603041|IRAK4 deficiency (TLR2/4)
R-HSA-5607764|CLEC7A (Dectin-1) signaling,R-HSA-5607761|Dectin-1 mediated noncanonical NF-kB signaling
R-HSA-5610787|Hedgehog 'off' state,R-HSA-5610780|Degradation of GLI1 by the proteasome
R-HSA-5610787|Hedgehog 'off' state,R-HSA-5610783|Degradation of GLI2 by the proteasome
R-HSA-5610787|Hedgehog 'off' state,R-HSA-5610785|GLI3 is processed to GLI3R by the proteasome
R-HSA-5617833|Cilium Assembly,R-HSA-5620912|Anchoring of the basal body to the plasma membrane
R-HSA-5617833|Cilium Assembly,R-HSA-5620920|Cargo trafficking to the periciliary membrane
R-HSA-5617833|Cilium Assembly,R-HSA-5620924|Intraflagellar transport
R-HSA-5619084|ABC transporter disorders,R-HSA-5678895|Defective CFTR causes cystic fibrosis
R-HSA-5619102|SLC transporter disorders,R-HSA-5619107|Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)
R-HSA-5619115|Disorders of transmembrane transporters,R-HSA-5619084|ABC transporter disorders
R-HSA-5619115|Disorders of transmembrane transporters,R-HSA-5619102|SLC transporter disorders
R-HSA-5619507|Activation of HOX genes during differentiation,R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis
R-HSA-5621481|C-type lectin receptors (CLRs),R-HSA-5607764|CLEC7A (Dectin-1) signaling
R-HSA-5621481|C-type lectin receptors (CLRs),R-HSA-5621480|Dectin-2 family
R-HSA-5621481|C-type lectin receptors (CLRs),R-HSA-5621575|CD209 (DC-SIGN) signaling
R-HSA-5633007|Regulation of TP53 Activity,R-HSA-6804756|Regulation of TP53 Activity through Phosphorylation
R-HSA-5633007|Regulation of TP53 Activity,R-HSA-6804758|Regulation of TP53 Activity through Acetylation
R-HSA-5633007|Regulation of TP53 Activity,R-HSA-6804760|Regulation of TP53 Activity through Methylation
R-HSA-5633007|Regulation of TP53 Activity,R-HSA-6806003|Regulation of TP53 Expression and Degradation
R-HSA-5633008|TP53 Regulates Transcription of Cell Death Genes,R-HSA-6803204|TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
R-HSA-5633008|TP53 Regulates Transcription of Cell Death Genes,R-HSA-6803205|TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
R-HSA-5637812|Signaling by EGFRvIII in Cancer,R-HSA-5637810|Constitutive Signaling by EGFRvIII
R-HSA-5637815|Signaling by Ligand-Responsive EGFR Variants in Cancer,R-HSA-1236382|Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
R-HSA-5653656|Vesicle-mediated transport,R-HSA-199991|Membrane Trafficking
R-HSA-5653656|Vesicle-mediated transport,R-HSA-2173782|Binding and Uptake of Ligands by Scavenger Receptors
R-HSA-5654687|Downstream signaling of activated FGFR1,R-HSA-5654689|PI-3K cascade:FGFR1
R-HSA-5654687|Downstream signaling of activated FGFR1,R-HSA-5654693|FRS-mediated FGFR1 signaling
R-HSA-5654696|Downstream signaling of activated FGFR2,R-HSA-5654695|PI-3K cascade:FGFR2
R-HSA-5654696|Downstream signaling of activated FGFR2,R-HSA-5654700|FRS-mediated FGFR2 signaling
R-HSA-5654708|Downstream signaling of activated FGFR3,R-HSA-5654706|FRS-mediated FGFR3 signaling
R-HSA-5654708|Downstream signaling of activated FGFR3,R-HSA-5654710|PI-3K cascade:FGFR3
R-HSA-5654716|Downstream signaling of activated FGFR4,R-HSA-5654712|FRS-mediated FGFR4 signaling
R-HSA-5654716|Downstream signaling of activated FGFR4,R-HSA-5654720|PI-3K cascade:FGFR4
R-HSA-5654726|Negative regulation of FGFR1 signaling,R-HSA-1295596|Spry regulation of FGF signaling
R-HSA-5654727|Negative regulation of FGFR2 signaling,R-HSA-1295596|Spry regulation of FGF signaling
R-HSA-5654732|Negative regulation of FGFR3 signaling,R-HSA-1295596|Spry regulation of FGF signaling
R-HSA-5654733|Negative regulation of FGFR4 signaling,R-HSA-1295596|Spry regulation of FGF signaling
R-HSA-5654736|Signaling by FGFR1,R-HSA-5654687|Downstream signaling of activated FGFR1
R-HSA-5654736|Signaling by FGFR1,R-HSA-5654726|Negative regulation of FGFR1 signaling
R-HSA-5654738|Signaling by FGFR2,R-HSA-5654696|Downstream signaling of activated FGFR2
R-HSA-5654738|Signaling by FGFR2,R-HSA-5654727|Negative regulation of FGFR2 signaling
R-HSA-5654741|Signaling by FGFR3,R-HSA-5654708|Downstream signaling of activated FGFR3
R-HSA-5654741|Signaling by FGFR3,R-HSA-5654732|Negative regulation of FGFR3 signaling
R-HSA-5654743|Signaling by FGFR4,R-HSA-5654716|Downstream signaling of activated FGFR4
R-HSA-5654743|Signaling by FGFR4,R-HSA-5654733|Negative regulation of FGFR4 signaling
R-HSA-5655302|Signaling by FGFR1 in disease,R-HSA-1839124|FGFR1 mutant receptor activation
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-1226099|Signaling by FGFR in disease
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-1227990|Signaling by ERBB2 in Cancer
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-1643713|Signaling by EGFR in Cancer
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-2219528|PI3K/AKT Signaling in Cancer
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-2644603|Signaling by NOTCH1 in Cancer
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-4791275|Signaling by WNT in cancer
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-5387390|Hh mutants abrogate ligand secretion
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-6802957|Oncogenic MAPK signaling
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-9669938|Signaling by KIT in disease
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-9671555|Signaling by PDGFR in disease
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-9682385|FLT3 signaling in disease
R-HSA-5663202|Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-9700206|Signaling by ALK in cancer
R-HSA-5668541|TNFR2 non-canonical NF-kB pathway,R-HSA-5669034|TNFs bind their physiological receptors
R-HSA-5668541|TNFR2 non-canonical NF-kB pathway,R-HSA-5676590|NIK-->noncanonical NF-kB signaling
R-HSA-5668541|TNFR2 non-canonical NF-kB pathway,R-HSA-5676594|TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
R-HSA-5668914|Diseases of metabolism,R-HSA-3781865|Diseases of glycosylation
R-HSA-5668914|Diseases of metabolism,R-HSA-5579029|Metabolic disorders of biological oxidation enzymes
R-HSA-5668914|Diseases of metabolism,R-HSA-5663084|Diseases of carbohydrate metabolism
R-HSA-5673001|RAF/MAP kinase cascade,R-HSA-5658442|Regulation of RAS by GAPs
R-HSA-5673001|RAF/MAP kinase cascade,R-HSA-5674135|MAP2K and MAPK activation
R-HSA-5673001|RAF/MAP kinase cascade,R-HSA-5675221|Negative regulation of MAPK pathway
R-HSA-5683057|MAPK family signaling cascades,R-HSA-5684996|MAPK1/MAPK3 signaling
R-HSA-5683057|MAPK family signaling cascades,R-HSA-5687128|MAPK6/MAPK4 signaling
R-HSA-5684996|MAPK1/MAPK3 signaling,R-HSA-112409|RAF-independent MAPK1/3 activation
R-HSA-5684996|MAPK1/MAPK3 signaling,R-HSA-5673001|RAF/MAP kinase cascade
R-HSA-5685942|HDR through Homologous Recombination (HRR),R-HSA-5693537|Resolution of D-Loop Structures
R-HSA-5685942|HDR through Homologous Recombination (HRR),R-HSA-5693579|Homologous DNA Pairing and Strand Exchange
R-HSA-5688426|Deubiquitination,R-HSA-5689603|UCH proteinases
R-HSA-5688426|Deubiquitination,R-HSA-5689880|Ub-specific processing proteases
R-HSA-5688426|Deubiquitination,R-HSA-5689896|Ovarian tumor domain proteases
R-HSA-5688426|Deubiquitination,R-HSA-5689901|Metalloprotease DUBs
R-HSA-5693532|DNA Double-Strand Break Repair,R-HSA-5693538|Homology Directed Repair
R-HSA-5693532|DNA Double-Strand Break Repair,R-HSA-5693571|Nonhomologous End-Joining (NHEJ)
R-HSA-5693532|DNA Double-Strand Break Repair,R-HSA-5693606|DNA Double Strand Break Response
R-HSA-5693537|Resolution of D-Loop Structures,R-HSA-5693554|Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
R-HSA-5693537|Resolution of D-Loop Structures,R-HSA-5693568|Resolution of D-loop Structures through Holliday Junction Intermediates
R-HSA-5693538|Homology Directed Repair,R-HSA-5685939|HDR through MMEJ (alt-NHEJ)
R-HSA-5693538|Homology Directed Repair,R-HSA-5693567|HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)
R-HSA-5693567|HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),R-HSA-5685938|HDR through Single Strand Annealing (SSA)
R-HSA-5693567|HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),R-HSA-5685942|HDR through Homologous Recombination (HRR)
R-HSA-5693567|HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),R-HSA-5693607|Processing of DNA double-strand break ends
R-HSA-5693579|Homologous DNA Pairing and Strand Exchange,R-HSA-5693616|Presynaptic phase of homologous DNA pairing and strand exchange
R-HSA-5693606|DNA Double Strand Break Response,R-HSA-5693565|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
R-HSA-5696398|Nucleotide Excision Repair,R-HSA-5696399|Global Genome Nucleotide Excision Repair (GG-NER)
R-HSA-5696398|Nucleotide Excision Repair,R-HSA-6781827|Transcription-Coupled Nucleotide Excision Repair (TC-NER)
R-HSA-5696399|Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-5696394|DNA Damage Recognition in GG-NER
R-HSA-5696399|Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-5696395|Formation of Incision Complex in GG-NER
R-HSA-5696399|Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-5696397|Gap-filling DNA repair synthesis and ligation in GG-NER
R-HSA-5696399|Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-5696400|Dual Incision in GG-NER
R-HSA-622312|Inflammasomes,R-HSA-844456|The NLRP3 inflammasome
R-HSA-6781827|Transcription-Coupled Nucleotide Excision Repair (TC-NER),R-HSA-6782135|Dual incision in TC-NER
R-HSA-6781827|Transcription-Coupled Nucleotide Excision Repair (TC-NER),R-HSA-6782210|Gap-filling DNA repair synthesis and ligation in TC-NER
R-HSA-6783589|Interleukin-6 family signaling,R-HSA-1059683|Interleukin-6 signaling
R-HSA-6791312|TP53 Regulates Transcription of Cell Cycle Genes,R-HSA-6804114|TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
R-HSA-6794362|Protein-protein interactions at synapses,R-HSA-388844|Receptor-type tyrosine-protein phosphatases
R-HSA-6794362|Protein-protein interactions at synapses,R-HSA-6794361|Neurexins and neuroligins
R-HSA-6802949|Signaling by RAS mutants,R-HSA-9649948|Signaling downstream of RAS mutants
R-HSA-6802957|Oncogenic MAPK signaling,R-HSA-6802946|Signaling by moderate kinase activity BRAF mutants
R-HSA-6802957|Oncogenic MAPK signaling,R-HSA-6802948|Signaling by high-kinase activity BRAF mutants
R-HSA-6802957|Oncogenic MAPK signaling,R-HSA-6802949|Signaling by RAS mutants
R-HSA-6802957|Oncogenic MAPK signaling,R-HSA-6802952|Signaling by BRAF and RAF1 fusions
R-HSA-6802957|Oncogenic MAPK signaling,R-HSA-6802955|Paradoxical activation of RAF signaling by kinase inactive BRAF
R-HSA-6802957|Oncogenic MAPK signaling,R-HSA-9656223|Signaling by RAF1 mutants
R-HSA-6805567|Keratinization,R-HSA-6809371|Formation of the cornified envelope
R-HSA-6806003|Regulation of TP53 Expression and Degradation,R-HSA-6804757|Regulation of TP53 Degradation
R-HSA-6806667|Metabolism of fat-soluble vitamins,R-HSA-975634|Retinoid metabolism and transport
R-HSA-6806834|Signaling by MET,R-HSA-6807004|Negative regulation of MET activity
R-HSA-6806834|Signaling by MET,R-HSA-8875878|MET promotes cell motility
R-HSA-6807070|PTEN Regulation,R-HSA-8943723|Regulation of PTEN mRNA translation
R-HSA-6807070|PTEN Regulation,R-HSA-8943724|Regulation of PTEN gene transcription
R-HSA-6807070|PTEN Regulation,R-HSA-8948751|Regulation of PTEN stability and activity
R-HSA-6811442|Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-6811438|Intra-Golgi traffic
R-HSA-6811442|Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-6811440|Retrograde transport at the Trans-Golgi-Network
R-HSA-6811442|Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-8856688|Golgi-to-ER retrograde transport
R-HSA-68875|Mitotic Prophase,R-HSA-162658|Golgi Cisternae Pericentriolar Stack Reorganization
R-HSA-68875|Mitotic Prophase,R-HSA-2299718|Condensation of Prophase Chromosomes
R-HSA-68875|Mitotic Prophase,R-HSA-2980766|Nuclear Envelope Breakdown
R-HSA-68877|Mitotic Prometaphase,R-HSA-2500257|Resolution of Sister Chromatid Cohesion
R-HSA-68877|Mitotic Prometaphase,R-HSA-2514853|Condensation of Prometaphase Chromosomes
R-HSA-68877|Mitotic Prometaphase,R-HSA-380320|Recruitment of NuMA to mitotic centrosomes
R-HSA-68877|Mitotic Prometaphase,R-HSA-9648025|EML4 and NUDC in mitotic spindle formation
R-HSA-68882|Mitotic Anaphase,R-HSA-2467813|Separation of Sister Chromatids
R-HSA-68882|Mitotic Anaphase,R-HSA-2995410|Nuclear Envelope (NE) Reassembly
R-HSA-68886|M Phase,R-HSA-2555396|Mitotic Metaphase and Anaphase
R-HSA-68886|M Phase,R-HSA-68875|Mitotic Prophase
R-HSA-68886|M Phase,R-HSA-68877|Mitotic Prometaphase
R-HSA-68886|M Phase,R-HSA-68884|Mitotic Telophase/Cytokinesis
R-HSA-69002|DNA Replication Pre-Initiation,R-HSA-68867|Assembly of the pre-replicative complex
R-HSA-69002|DNA Replication Pre-Initiation,R-HSA-68962|Activation of the pre-replicative complex
R-HSA-69052|Switching of origins to a post-replicative state,R-HSA-68949|Orc1 removal from chromatin
R-HSA-69052|Switching of origins to a post-replicative state,R-HSA-69017|CDK-mediated phosphorylation and removal of Cdc6
R-HSA-69109|Leading Strand Synthesis,R-HSA-69091|Polymerase switching
R-HSA-69183|Processive synthesis on the lagging strand,R-HSA-69166|Removal of the Flap Intermediate
R-HSA-69186|Lagging Strand Synthesis,R-HSA-69091|Polymerase switching
R-HSA-69186|Lagging Strand Synthesis,R-HSA-69183|Processive synthesis on the lagging strand
R-HSA-69190|DNA strand elongation,R-HSA-176974|Unwinding of DNA
R-HSA-69190|DNA strand elongation,R-HSA-69109|Leading Strand Synthesis
R-HSA-69190|DNA strand elongation,R-HSA-69186|Lagging Strand Synthesis
R-HSA-69202|Cyclin E associated events during G1/S transition ,R-HSA-187577|SCF(Skp2)-mediated degradation of p27/p21
R-HSA-69206|G1/S Transition,R-HSA-113510|E2F mediated regulation of DNA replication
R-HSA-69206|G1/S Transition,R-HSA-68962|Activation of the pre-replicative complex
R-HSA-69206|G1/S Transition,R-HSA-69202|Cyclin E associated events during G1/S transition 
R-HSA-69206|G1/S Transition,R-HSA-69205|G1/S-Specific Transcription
R-HSA-69236|G1 Phase,R-HSA-69231|Cyclin D associated events in G1
R-HSA-69239|Synthesis of DNA,R-HSA-69052|Switching of origins to a post-replicative state
R-HSA-69239|Synthesis of DNA,R-HSA-69190|DNA strand elongation
R-HSA-69242|S Phase,R-HSA-2468052|Establishment of Sister Chromatid Cohesion
R-HSA-69242|S Phase,R-HSA-69239|Synthesis of DNA
R-HSA-69242|S Phase,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
R-HSA-69242|S Phase,R-HSA-75815|Ubiquitin-dependent degradation of Cyclin D
R-HSA-69275|G2/M Transition,R-HSA-156711|Polo-like kinase mediated events
R-HSA-69275|G2/M Transition,R-HSA-2565942|Regulation of PLK1 Activity at G2/M Transition
R-HSA-69275|G2/M Transition,R-HSA-380287|Centrosome maturation
R-HSA-69275|G2/M Transition,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
R-HSA-69275|G2/M Transition,R-HSA-8852276|The role of GTSE1 in G2/M progression after G2 checkpoint
R-HSA-69275|G2/M Transition,R-HSA-8854050|FBXL7 down-regulates AURKA during mitotic entry and in early mitosis
R-HSA-69275|G2/M Transition,R-HSA-8854518|AURKA Activation by TPX2
"R-HSA-69278|Cell Cycle, Mitotic",R-HSA-453274|Mitotic G2-G2/M phases
"R-HSA-69278|Cell Cycle, Mitotic",R-HSA-453276|Regulation of mitotic cell cycle
"R-HSA-69278|Cell Cycle, Mitotic",R-HSA-453279|Mitotic G1 phase and G1/S transition
"R-HSA-69278|Cell Cycle, Mitotic",R-HSA-68886|M Phase
"R-HSA-69278|Cell Cycle, Mitotic",R-HSA-69242|S Phase
R-HSA-69306|DNA Replication,R-HSA-69002|DNA Replication Pre-Initiation
R-HSA-69306|DNA Replication,R-HSA-69239|Synthesis of DNA
R-HSA-69481|G2/M Checkpoints,R-HSA-176187|Activation of ATR in response to replication stress
R-HSA-69481|G2/M Checkpoints,R-HSA-69473|G2/M DNA damage checkpoint
R-HSA-69481|G2/M Checkpoints,R-HSA-69478|G2/M DNA replication checkpoint
R-HSA-69541|Stabilization of p53,R-HSA-349425|Autodegradation of the E3 ubiquitin ligase COP1
R-HSA-69563|p53-Dependent G1 DNA Damage Response,R-HSA-69541|Stabilization of p53
R-HSA-69580|p53-Dependent G1/S DNA damage checkpoint,R-HSA-69563|p53-Dependent G1 DNA Damage Response
R-HSA-69613|p53-Independent G1/S DNA Damage Checkpoint,R-HSA-69601|Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A
R-HSA-69615|G1/S DNA Damage Checkpoints,R-HSA-69580|p53-Dependent G1/S DNA damage checkpoint
R-HSA-69615|G1/S DNA Damage Checkpoints,R-HSA-69613|p53-Independent G1/S DNA Damage Checkpoint
R-HSA-69618|Mitotic Spindle Checkpoint,R-HSA-141405|Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
R-HSA-69618|Mitotic Spindle Checkpoint,R-HSA-141424|Amplification of signal from the kinetochores
R-HSA-69620|Cell Cycle Checkpoints,R-HSA-69481|G2/M Checkpoints
R-HSA-69620|Cell Cycle Checkpoints,R-HSA-69615|G1/S DNA Damage Checkpoints
R-HSA-69620|Cell Cycle Checkpoints,R-HSA-69618|Mitotic Spindle Checkpoint
R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry,R-HSA-187577|SCF(Skp2)-mediated degradation of p27/p21
R-HSA-70171|Glycolysis,R-HSA-170822|Regulation of Glucokinase by Glucokinase Regulatory Protein
R-HSA-70268|Pyruvate metabolism,R-HSA-9861718|Regulation of pyruvate metabolism
R-HSA-70326|Glucose metabolism,R-HSA-70171|Glycolysis
R-HSA-70326|Glucose metabolism,R-HSA-70263|Gluconeogenesis
R-HSA-71291|Metabolism of amino acids and derivatives,R-HSA-1614635|Sulfur amino acid metabolism
R-HSA-71291|Metabolism of amino acids and derivatives,R-HSA-209776|Metabolism of amine-derived hormones
R-HSA-71291|Metabolism of amino acids and derivatives,R-HSA-2408522|Selenoamino acid metabolism
R-HSA-71291|Metabolism of amino acids and derivatives,R-HSA-351202|Metabolism of polyamines
R-HSA-71291|Metabolism of amino acids and derivatives,R-HSA-977347|Serine metabolism
R-HSA-71387|Metabolism of carbohydrates and carbohydrate derivatives,R-HSA-1630316|Glycosaminoglycan metabolism
R-HSA-71387|Metabolism of carbohydrates and carbohydrate derivatives,R-HSA-70326|Glucose metabolism
R-HSA-71387|Metabolism of carbohydrates and carbohydrate derivatives,R-HSA-8982491|Glycogen metabolism
R-HSA-72172|mRNA Splicing,R-HSA-72163|mRNA Splicing - Major Pathway
R-HSA-72172|mRNA Splicing,R-HSA-72165|mRNA Splicing - Minor Pathway
R-HSA-72187|mRNA 3'-end processing,R-HSA-9770562|mRNA Polyadenylation
R-HSA-72202|Transport of Mature Transcript to Cytoplasm,R-HSA-159234|Transport of Mature mRNAs Derived from Intronless Transcripts
R-HSA-72202|Transport of Mature Transcript to Cytoplasm,R-HSA-159236|Transport of Mature mRNA derived from an Intron-Containing Transcript
R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72172|mRNA Splicing
R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72187|mRNA 3'-end processing
R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72202|Transport of Mature Transcript to Cytoplasm
R-HSA-72306|tRNA processing,R-HSA-6784531|tRNA processing in the nucleus
R-HSA-72312|rRNA processing,R-HSA-8868773|rRNA processing in the nucleus and cytosol
R-HSA-72613|Eukaryotic Translation Initiation,R-HSA-156827|L13a-mediated translational silencing of Ceruloplasmin expression
R-HSA-72613|Eukaryotic Translation Initiation,R-HSA-72737|Cap-dependent Translation Initiation
"R-HSA-72662|Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",R-HSA-72649|Translation initiation complex formation
R-HSA-72737|Cap-dependent Translation Initiation,"R-HSA-72662|Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"
R-HSA-72737|Cap-dependent Translation Initiation,R-HSA-72689|Formation of a pool of free 40S subunits
R-HSA-72737|Cap-dependent Translation Initiation,"R-HSA-72695|Formation of the ternary complex, and subsequently, the 43S complex"
R-HSA-72737|Cap-dependent Translation Initiation,R-HSA-72702|Ribosomal scanning and start codon recognition
R-HSA-72737|Cap-dependent Translation Initiation,R-HSA-72706|GTP hydrolysis and joining of the 60S ribosomal subunit
R-HSA-72737|Cap-dependent Translation Initiation,R-HSA-72731|Recycling of eIF2:GDP
R-HSA-72766|Translation,R-HSA-156842|Eukaryotic Translation Elongation
R-HSA-72766|Translation,R-HSA-1799339|SRP-dependent cotranslational protein targeting to membrane
R-HSA-72766|Translation,R-HSA-72613|Eukaryotic Translation Initiation
R-HSA-72766|Translation,R-HSA-72764|Eukaryotic Translation Termination
R-HSA-72766|Translation,R-HSA-9948299|Ribosome-associated quality control
R-HSA-73854|RNA Polymerase I Promoter Clearance,R-HSA-73762|RNA Polymerase I Transcription Initiation
R-HSA-73864|RNA Polymerase I Transcription,R-HSA-73854|RNA Polymerase I Promoter Clearance
R-HSA-73884|Base Excision Repair,"R-HSA-73929|Base-Excision Repair, AP Site Formation"
R-HSA-73884|Base Excision Repair,R-HSA-73933|Resolution of Abasic Sites (AP sites)
R-HSA-73886|Chromosome Maintenance,R-HSA-157579|Telomere Maintenance
R-HSA-73886|Chromosome Maintenance,R-HSA-774815|Nucleosome assembly
R-HSA-73887|Death Receptor Signaling,R-HSA-193704|p75 NTR receptor-mediated signalling
